,Manufacturer,Model,Category,Leather interior,Fuel type,Gear box type,Drive wheels,Wheel,Color,Price,Levy,Engine volume,Mileage,Cylinders,Airbags,Age
2950,4,51,7,1,3,0,1,0,7,4704,781.0,1.4,41822,4.0,12,5
2996,10,163,3,1,3,0,1,0,14,57842,879.0,1.6,32724,4.0,4,4
3046,30,30,7,1,3,0,1,0,3,470,1327.0,2.5,44845,4.0,12,5
3062,4,108,0,1,3,0,1,0,1,5018,830.0,1.5,8710,4.0,12,4
3067,10,61,7,1,0,0,1,0,14,30038,880.0,1.6,60000,4.0,4,5
3068,30,30,7,1,3,0,1,0,12,16308,1327.0,2.5,45371,4.0,12,5
3096,4,51,7,1,3,0,1,0,7,549,780.0,1.4,14074,4.0,12,4
3147,30,23,0,1,3,0,1,0,14,6586,1077.0,2.0,5219,4.0,12,4
3149,30,130,3,0,3,2,0,0,7,58018,0.0,2.5,1358,4.0,12,5
3159,30,30,7,1,1,0,1,0,1,61154,609.0,2.5,32000,4.0,12,5
3216,9,41,8,1,3,0,1,0,1,124989,1077.0,2.0,5492,4.0,4,4
3249,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
3283,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
3314,16,58,7,1,3,0,1,0,14,10349,1820.0,3.5,13147,6.0,12,4
3319,10,149,7,1,3,0,1,0,7,55932,1079.0,2.0,50310,4.0,4,5
3352,30,30,7,1,1,0,1,0,1,9722,609.0,2.5,127515,4.0,12,5
3409,10,61,7,1,3,0,1,0,2,33076,880.0,1.6,41523,4.0,4,5
3446,10,163,3,1,0,0,1,0,7,54346,1079.0,2.0,46503,4.0,4,5
3450,13,142,7,1,3,0,1,0,14,549,1079.0,2.0,91283,4.0,12,5
3465,9,75,5,0,1,0,1,1,2,16000,2266.0,1.5,0,4.0,2,5
3501,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
3530,30,30,7,1,3,0,1,0,1,65858,1325.0,2.5,7000,4.0,10,4
3556,30,105,3,0,0,0,0,0,14,250,0.0,3.0,33000,6.0,12,4
3560,4,172,7,1,1,0,1,0,12,941,400.0,1.5,43128,4.0,12,5
3602,26,15,3,1,0,0,1,0,2,43868,880.0,1.6,200401,4.0,4,5
3628,10,163,3,1,0,0,1,0,7,59006,1077.0,2.0,14000,4.0,4,4
3638,30,181,7,1,3,0,1,0,7,21012,831.0,1.5,20549,4.0,10,5
3641,10,143,3,1,0,0,1,0,14,96749,1076.0,2.0,9146,4.0,4,3
3674,22,145,7,1,3,0,1,0,1,1490,980.0,1.8,11469,4.0,12,5
3690,12,89,7,1,3,0,2,0,14,23834,1869.0,3.6,14096,6.0,12,4
3739,18,10,3,1,3,0,1,0,14,3136,1327.0,2.5,67066,4.0,12,5
3759,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
3804,30,130,3,0,3,2,0,0,14,160,1079.0,2.0,25000,4.0,12,5
3813,9,41,7,1,3,0,1,0,7,54850,831.0,1.5,13048,4.0,4,5
3818,10,143,3,1,0,0,1,0,7,67981,1077.0,2.0,10120,4.0,4,4
3826,10,61,7,1,2,0,1,0,12,36137,880.0,1.6,47181,4.0,4,5
3857,10,149,7,1,3,0,1,0,2,10976,1275.0,2.4,29419,4.0,12,4
3884,27,74,3,0,3,0,0,0,2,30107,1327.0,2.5,80000,4.0,12,5
3887,30,30,3,1,3,0,1,0,12,549,1327.0,2.5,23333,4.0,12,5
3900,30,23,3,0,3,0,1,0,7,36065,1079.0,2.0,37214,4.0,10,5
3904,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
3923,10,143,3,1,0,0,1,0,2,64002,1079.0,2.0,41778,4.0,4,5
3940,10,163,3,1,0,0,1,0,1,56513,930.0,1.7,41500,4.0,4,5
3950,30,30,7,1,3,0,1,0,1,53314,1327.0,2.5,6800,6.0,8,5
3983,30,23,3,1,3,0,1,0,7,2587,1079.0,2.0,16213,4.0,12,5
3997,10,143,3,1,0,0,1,0,14,97401,1077.0,2.0,14489,4.0,4,4
4044,19,87,3,1,3,2,0,0,1,156805,0.0,3.0,31000,6.0,0,5
4049,30,157,7,1,3,0,0,0,1,31675,1817.0,3.5,1669,6.0,12,3
4067,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
4077,10,143,3,1,0,0,1,0,7,90919,1076.0,2.0,6631,4.0,4,3
4095,4,52,7,0,3,0,1,0,1,16621,781.0,1.4,12532,4.0,8,5
4119,30,105,3,0,0,0,0,0,7,250,0.0,3.0,36000,6.0,12,4
4125,30,30,7,0,3,2,1,0,3,23521,1325.0,2.5,22400,6.0,10,4
4128,3,27,7,1,3,0,0,0,1,4391,1077.0,2.0,21659,4.0,12,4
4133,10,143,3,1,0,0,1,0,2,56513,1079.0,2.0,61640,4.0,4,5
4180,9,69,2,0,3,0,1,1,1,12500,1974.0,1.3,6000,4.0,2,4
4208,10,90,8,1,2,0,1,0,15,66197,1327.0,2.5,20930,4.0,4,5
4213,10,163,3,1,3,0,1,0,2,61521,880.0,1.6,14661,4.0,4,5
4266,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
4272,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
4314,4,64,3,0,3,0,0,0,1,22580,830.0,1.5,5124,4.0,10,4
4316,22,17,7,1,3,0,1,0,7,21326,1325.0,2.5,30296,4.0,12,4
4323,30,30,7,1,3,2,1,0,1,32929,1327.0,2.5,19000,4.0,11,5
4344,9,69,2,0,3,0,0,1,1,20000,1974.0,1.3,3800,4.0,4,4
4354,30,30,7,1,3,0,1,0,1,549,1325.0,2.5,35541,4.0,12,4
4360,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
4372,30,147,5,0,3,0,1,1,14,15000,1539.0,1.0,0,3.0,4,5
4379,30,30,7,1,3,0,1,0,3,470,1327.0,2.5,44845,4.0,12,5
4413,4,51,2,1,3,2,1,0,14,28100,781.0,1.4,21000,4.0,10,5
4424,30,23,3,1,3,0,1,0,11,13172,1077.0,2.0,24302,4.0,12,4
4442,0,128,3,1,3,0,0,0,12,37947,1575.0,3.0,49122,6.0,12,5
4459,10,149,7,1,3,0,1,0,2,4077,1277.0,2.4,67165,4.0,12,5
4468,30,18,8,1,1,0,1,0,2,41867,400.0,1.5,35039,4.0,4,5
4500,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
4501,30,30,7,1,1,0,1,0,1,9722,609.0,2.5,127515,4.0,12,5
4502,30,18,2,1,3,0,1,0,2,42538,831.0,1.5,2000,4.0,4,5
4515,30,23,3,1,3,0,1,0,7,549,1077.0,2.0,39221,4.0,12,4
4520,10,143,3,1,0,0,1,0,7,73714,1077.0,2.0,43598,4.0,4,4
4522,10,143,7,1,3,0,0,0,14,11290,1277.0,2.4,44240,4.0,12,5
4581,30,105,3,0,0,0,0,0,7,250,0.0,3.0,32000,6.0,12,4
4589,30,157,7,1,3,0,0,0,1,26971,1820.0,3.5,18555,6.0,12,4
4590,10,143,3,1,0,0,1,0,14,88438,1076.0,2.0,120,4.0,4,3
4602,10,95,2,1,1,0,1,0,7,3763,420.0,1.6,29450,4.0,12,4
4663,10,61,7,1,3,0,1,0,14,33575,880.0,1.6,53871,4.0,4,5
4680,30,39,3,1,3,0,1,0,12,470,1077.0,2.0,10610,4.0,12,4
4688,10,149,7,1,3,0,1,0,14,73034,1079.0,2.0,41895,4.0,4,5
4734,4,118,3,1,2,0,1,0,12,47408,1079.0,2.0,33000,4.0,4,5
4834,30,23,3,1,3,0,1,0,11,1568,1077.0,2.0,10526,4.0,12,4
4900,4,108,7,1,3,0,1,0,7,63826,1077.0,2.0,9101,4.0,4,4
4902,10,143,7,1,3,0,0,0,1,549,1277.0,2.4,46853,4.0,12,5
4919,19,26,7,1,3,0,2,0,1,121524,3057.0,6.0,0,12.0,12,4
5087,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
5108,9,69,2,1,1,0,1,0,1,26720,399.0,1.5,2336,4.0,4,4
5150,30,23,3,1,3,0,1,0,12,470,1077.0,2.0,65362,4.0,12,4
5159,10,61,7,1,3,0,1,0,7,32929,880.0,1.6,54865,4.0,4,5
5161,30,23,3,1,3,0,1,0,7,19444,1079.0,2.0,40272,4.0,12,5
5171,10,143,3,1,0,0,1,0,1,75793,1077.0,2.0,21680,4.0,4,4
5224,30,30,7,1,1,0,1,0,1,9722,609.0,2.5,127515,4.0,12,5
5252,4,93,7,1,3,0,1,0,12,3293,1872.0,3.6,71194,6.0,12,5
5263,4,93,7,1,3,0,1,0,12,3450,1869.0,3.6,18438,6.0,12,4
5291,10,143,3,1,0,0,1,0,14,81445,1174.0,2.2,25468,4.0,4,3
5319,10,61,7,1,3,0,1,0,7,32929,880.0,1.6,54865,4.0,4,5
5322,7,66,3,1,3,0,1,0,14,118519,1228.0,2.3,14263,4.0,4,5
5338,30,23,3,1,3,0,1,0,7,2195,1079.0,2.0,22816,4.0,12,5
5349,10,143,3,1,0,0,1,0,1,53188,1079.0,2.0,47692,4.0,4,5
5376,30,18,8,1,1,0,1,0,7,45825,400.0,1.5,9942,4.0,4,5
5505,30,23,3,1,3,0,1,0,14,10349,1079.0,2.0,38712,4.0,12,5
5547,13,131,3,1,3,0,1,0,1,1646,880.0,1.6,65451,4.0,12,5
5564,9,14,7,1,3,0,1,0,1,11290,831.0,1.5,60062,4.0,12,5
5571,10,61,7,1,3,0,1,0,11,31581,880.0,1.6,52000,4.0,4,5
5584,30,126,2,1,1,0,1,0,14,40769,463.0,1.8,2102,4.0,12,5
5589,22,99,3,0,3,2,1,0,7,24775,880.0,1.6,8000,4.0,0,5
5599,30,30,7,1,3,2,1,0,1,50178,0.0,2.5,60000,6.0,10,5
5614,27,119,7,1,3,0,0,0,12,1882,1327.0,2.5,0,4.0,12,5
5623,28,171,3,0,3,2,1,0,5,46414,0.0,1.0,4800,3.0,10,4
5625,10,90,8,1,0,0,1,0,15,65040,1327.0,2.5,26501,4.0,4,5
5634,8,156,7,1,3,0,1,0,1,14269,1077.0,2.0,35898,4.0,12,4
5641,30,130,3,0,3,2,0,0,14,48610,1327.0,2.5,40000,4.0,12,5
5645,30,6,3,1,3,0,0,0,12,470,2070.0,4.0,58971,6.0,12,5
5685,10,163,3,1,0,0,1,0,2,47205,930.0,1.7,46764,4.0,4,5
5703,4,51,7,0,3,0,1,0,12,14740,781.0,1.4,0,4.0,0,5
5735,10,61,7,1,3,0,1,0,7,15210,1076.0,2.0,25038,4.0,12,3
5748,30,30,7,1,1,0,1,0,1,9722,609.0,2.5,127515,4.0,12,5
5793,10,163,7,1,3,0,0,0,2,17876,1077.0,2.0,31200,4.0,12,4
5826,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
5851,30,157,7,1,3,0,2,0,12,31047,1820.0,3.5,17542,6.0,12,4
5852,22,167,7,1,3,0,1,0,7,2587,880.0,1.6,0,4.0,12,5
5896,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
5910,9,41,7,1,3,0,1,0,1,56509,1079.0,2.0,26134,4.0,4,5
5920,10,149,7,1,3,0,1,0,1,66815,1079.0,2.0,40808,4.0,4,5
5921,10,149,7,1,3,0,1,0,14,64463,1079.0,2.0,25255,4.0,4,5
5955,30,23,3,0,3,2,1,0,7,46728,1079.0,2.0,46000,4.0,12,5
6035,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
6047,9,69,2,1,3,0,1,0,12,22291,732.0,1.3,5987,4.0,4,5
6080,30,23,3,1,3,0,1,0,14,10349,1079.0,2.0,38712,4.0,12,5
6081,18,28,3,0,3,2,0,0,1,51746,1327.0,2.5,20000,4.0,12,5
6086,30,91,7,1,3,0,0,0,3,470,1820.0,3.5,10670,6.0,12,4
6096,19,175,6,1,0,0,0,0,2,109764,0.0,2.5,43000,8.0,0,5
6105,16,132,3,1,3,0,1,0,1,3293,1823.0,3.5,8618,6.0,12,5
6124,21,120,3,1,1,0,0,0,1,1725,505.0,2.0,79283,4.0,12,5
6140,21,120,7,1,3,0,0,0,1,1333,1275.0,2.4,4677,4.0,12,4
6142,4,2,0,1,3,0,0,0,12,2509,781.0,1.4,29763,4.0,12,5
6164,24,184,7,1,3,0,0,0,2,46414,1079.0,2.0,28840,4.0,12,5
6182,13,114,3,0,1,0,1,0,1,38888,421.0,1.6,62347,4.0,10,5
6202,30,30,7,1,3,2,1,0,1,64290,1327.0,2.5,12000,4.0,12,5
6231,30,30,7,1,3,0,1,0,2,4234,1327.0,2.5,105235,4.0,12,5
6299,16,132,7,1,3,0,0,0,14,55195,1823.0,3.5,15744,6.0,12,5
6302,10,143,3,1,0,0,1,0,7,80074,1077.0,2.0,56000,4.0,4,4
6307,30,130,7,1,3,0,0,0,11,392,1327.0,2.5,53611,4.0,11,5
6316,27,74,7,1,3,0,0,0,1,10663,1327.0,2.5,32435,4.0,12,5
6324,27,119,2,1,3,0,0,0,12,282,1327.0,2.5,41794,4.0,12,5
6329,10,149,7,1,3,0,1,0,7,62697,880.0,1.6,32000,4.0,4,5
6341,30,23,3,1,3,0,1,0,14,10349,1079.0,2.0,38712,4.0,12,5
6344,30,30,7,1,3,0,1,0,7,6429,1325.0,2.5,4565,4.0,12,4
6368,7,76,7,1,1,0,1,0,2,10192,505.0,2.0,28813,4.0,12,5
6379,10,149,7,1,3,0,1,0,1,65052,1079.0,2.0,27448,4.0,4,5
6421,30,45,7,1,1,0,1,0,2,6899,460.0,1.8,7467,4.0,12,3
6432,4,154,7,1,3,0,1,0,1,28225,2711.0,5.3,19901,8.0,12,4
6436,0,12,7,1,3,0,0,0,1,21950,1079.0,2.0,18283,4.0,10,5
6451,9,41,2,1,3,0,1,0,1,78829,831.0,1.5,2000,4.0,4,5
6571,30,130,3,0,3,0,0,0,14,47042,1325.0,2.5,2565,4.0,8,4
6586,28,155,2,0,3,3,1,0,11,45009,681.0,1.2,0,4.0,0,4
6600,8,156,7,1,3,0,1,0,2,9879,831.0,1.5,51050,4.0,12,5
6668,27,74,7,1,3,0,0,0,1,10663,1327.0,2.5,32435,4.0,12,5
6670,32,3,7,1,3,0,1,0,7,12544,1872.0,3.6,66086,6.0,12,5
6696,9,49,7,1,3,0,0,0,2,20698,831.0,1.5,56261,4.0,12,5
6720,30,30,7,0,3,2,1,0,12,53000,1327.0,2.5,7000,4.0,12,5
6761,30,30,7,1,3,2,2,0,7,40769,1327.0,2.5,31000,6.0,12,5
6780,30,157,7,1,3,0,0,0,1,26971,1820.0,3.5,18555,6.0,12,4
6788,30,30,7,1,3,0,1,0,1,46101,1325.0,2.5,25816,4.0,12,4
6824,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
6829,9,69,2,1,3,0,1,0,12,21683,732.0,1.3,10970,4.0,4,5
6845,30,23,3,0,3,2,1,1,4,24000,1829.0,1.2,84000,4.0,8,4
6851,10,149,7,1,3,0,1,0,7,69502,1079.0,2.0,28750,4.0,4,5
6899,9,41,7,1,3,0,1,0,7,59827,1077.0,2.0,8115,4.0,4,4
6984,30,23,3,1,3,0,1,0,11,5488,1077.0,2.0,78424,4.0,12,4
7091,22,100,3,1,3,0,1,0,11,29950,880.0,1.6,9410,4.0,9,5
7101,30,6,3,1,3,0,1,0,10,10349,1079.0,2.0,78579,4.0,12,5
7105,21,122,3,0,3,2,0,0,7,33870,1079.0,2.0,4320,4.0,10,5
7143,10,90,8,1,0,0,1,0,15,68223,1327.0,2.5,27406,4.0,4,5
7187,10,143,3,1,0,0,1,0,7,71647,1077.0,2.0,47778,4.0,4,4
7210,32,96,7,1,3,0,1,0,7,39201,780.0,1.4,5000,4.0,16,4
7276,19,78,3,1,2,1,0,0,10,3,0.0,1.8,1212,12.0,0,3
